Student,LPIPS,SSIM
112590007.png,0.0,1.0
112590060.png,0.1833093762397766,0.7788135594467995
112590036.png,0.19634954631328583,0.7576841207832125
112590017.png,0.21291345357894897,0.7396394119061499
112590041.png,0.22379785776138306,0.7193305971344414
109810011.png,0.2472752332687378,0.7137569118211667
112590038.png,0.25774314999580383,0.7117818362651719
112590044.png,0.2681756317615509,0.7088749487365608
112590056.png,0.27218252420425415,0.7574903027456846
112590004.png,0.27626365423202515,0.7389794150325443
112590059.png,0.27690616250038147,0.7590840014553261
112590003.png,0.2843724489212036,0.7482017584222523
110590456.png,0.2889002561569214,0.6870288568055662
112590029.png,0.2998819351196289,0.7380529733764156
112590014.png,0.30217137932777405,0.7035439897900164
112590023.png,0.3064537048339844,0.7120878228151483
112590012.png,0.31135302782058716,0.7313091793718615
111332012.png,0.31649845838546753,0.6843307514131318
112590022.png,0.3189375400543213,0.6591238070474734
112590009.png,0.32889503240585327,0.6747953559865109
112590033.png,0.34430351853370667,0.7104032186673307
112590035.png,0.35611799359321594,0.6412805848450684
112590020.png,0.3604864478111267,0.6413124692020135
112590026.png,0.3620995283126831,0.6384364429669008
113378043.png,0.371476948261261,0.6692363060011107
110590041.png,0.37148118019104004,0.6652118187933668
112590057.png,0.3794492483139038,0.5797108681757799
112590030.png,0.3812364935874939,0.6616451381490099
112590005.png,0.3898067772388458,0.6513743307762677
112ab0053.png,0.39264777302742004,0.7131784335651462
112590021.png,0.3981859087944031,0.5936282021912619
110820009.png,0.415326863527298,0.6193220039448288
112590052.png,0.4412318468093872,0.5437288025512962
112590051.png,0.4615657329559326,0.5283462895707102
112590031.png,0.466069757938385,0.5170655070029356
112590053.png,0.4912034571170807,0.5367282141149319
112590024.png,0.49835702776908875,0.5446202414596214
112590018.png,0.5110334753990173,0.4788967370579184
